Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent
AIエージェントがコードを自動生成する時代になりました。,We've entered an era where AI agents auto-generate code.,自動生成,AIエージェントがコードを自動生成【じどうせいせい】する時代【じだい】になりました。,AI - Generation,polite,auto-generate,"<ruby class=""vocab"">自動生成<rt>じどうせいせい</rt></ruby>"
このモデルの推論精度を評価してください。,Please evaluate the inference accuracy of this model.,推論,このモデルの推論【すいろん】精度【せいど】を評価【ひょうか】してください。,AI - Inference,polite,inference/reasoning,"<ruby class=""vocab"">推論<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ろ</span><span class=""pitch-h"">ん</span></rt></ruby>"
プロンプトを改善してエージェントの出力を安定させましょう。,Let's improve the prompt to stabilize the agent's output.,プロンプト,プロンプトを改善【かいぜん】してエージェントの出力【しゅつりょく】を安定【あんてい】させましょう。,AI - Prompt,polite,prompt,"<ruby class=""vocab"">プロンプト<rt><span class=""pitch-l"">ぷ</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぷ</span><span class=""pitch-l"">と</span></rt></ruby>"
コンテキストの長さがモデルの上限を超えています。,The context length exceeds the model's upper limit.,コンテキスト,コンテキストの長【なが】さがモデルの上限【じょうげん】を超【こ】えています。,AI - Context,polite,context,"<ruby class=""vocab"">コンテキスト<rt><span class=""pitch-h"">こ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">て</span><span class=""pitch-l"">き</span><span class=""pitch-l"">す</span><span class=""pitch-l"">と</span></rt></ruby>"
トークン消費量を削減する方法を検討しています。,We are considering ways to reduce token consumption.,トークン,トークン消費量【しょうひりょう】を削減【さくげん】する方法【ほうほう】を検討【けんとう】しています。,AI - Token,polite,token,"<ruby class=""vocab"">トークン<rt><span class=""pitch-h"">と</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">く</span><span class=""pitch-l"">ん</span></rt></ruby>"
ハルシネーションを防ぐためにファクトチェックが必要です。,Fact-checking is needed to prevent hallucination.,ハルシネーション,ハルシネーションを防【ふせ】ぐためにファクトチェックが必要【ひつよう】です。,AI - Hallucination,polite,hallucination,"<span class=""vocab"">ハルシネーション</span>"
モデルの訓練データにバイアスがないか確認してください。,Please check if there is bias in the model's training data.,訓練,モデルの訓練【くんれん】データにバイアスがないか確認【かくにん】してください。,AI - Training,polite,training,"<ruby class=""vocab"">訓練<rt><span class=""pitch-h"">く</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">ん</span></rt></ruby>"
リンターからのフィードバックでエージェントが自己修正します。,The agent self-corrects based on feedback from the linter.,フィードバック,リンターからのフィードバックでエージェントが自己修正【じこしゅうせい】します。,AI - Feedback,polite,feedback,"<ruby class=""vocab"">フィードバック<rt><span class=""pitch-l"">ふぃ</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">ば</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">く</span></rt></ruby>"
人間の介入なしでエージェントを自律的に稼働させたいです。,I want to run the agent autonomously without human intervention.,自律,人間【にんげん】の介入【かいにゅう】なしでエージェントを自律的【じりつてき】に稼働【かどう】させたいです。,AI - Autonomy,polite,autonomous,"<ruby class=""vocab"">自律<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">り</span><span class=""pitch-h"">つ</span></rt></ruby>"
エージェントの出力が不安定なのでハーネスを改善しましょう。,The agent's output is unstable so let's improve the harness.,ハーネス,エージェントの出力【しゅつりょく】が不安定【ふあんてい】なのでハーネスを改善【かいぜん】しましょう。,AI - Harness,polite,harness,"<ruby class=""vocab"">ハーネス<rt><span class=""pitch-h"">は</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ね</span><span class=""pitch-l"">す</span></rt></ruby>"
独立したタスクはエージェントで並列に実行しましょう。,Let's run independent tasks in parallel with agents.,並列,独立【どくりつ】したタスクはエージェントで並列【へいれつ】に実行【じっこう】しましょう。,AI - Parallel,polite,parallel,"<ruby class=""vocab"">並列<rt><span class=""pitch-l"">へ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">つ</span></rt></ruby>"
生成AIの回答を鵜呑みにせずレビューしてください。,Don't take the generative AI's answer at face value; review it.,生成AI,生成【せいせい】AIの回答【かいとう】を鵜呑【うの】みにせずレビューしてください。,AI - Review,polite,generative AI,"<ruby class=""vocab"">生成AI<rt>せいせいAI</rt></ruby>"
ベンチマーク結果を比較してどのモデルを採用するか決めましょう。,Let's compare benchmark results and decide which model to adopt.,ベンチマーク,ベンチマーク結果【けっか】を比較【ひかく】してどのモデルを採用【さいよう】するか決【き】めましょう。,AI - Evaluation,polite,benchmark,"<span class=""vocab"">ベンチマーク</span>"
機械学習パイプラインのテストを自動化する必要があります。,We need to automate testing for the machine learning pipeline.,機械学習,機械学習【きかいがくしゅう】パイプラインのテストを自動化【じどうか】する必要【ひつよう】があります。,AI - ML,polite,machine learning,"<ruby class=""vocab"">機械学習<rt>きかいがくしゅう</rt></ruby>"
エージェントが設定を勝手に変更しないようにガードレールを入れましょう。,Let's add guardrails so the agent doesn't change settings on its own.,ガードレール,エージェントが設定【せってい】を勝手【かって】に変更【へんこう】しないようにガードレールを入【い】れましょう。,AI - Safety,polite,guardrail,"<ruby class=""vocab"">ガードレール<rt><span class=""pitch-l"">が</span><span class=""pitch-h"">ー</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span></rt></ruby>"
APIの仕様書を最新の状態に保ってください。,Please keep the API specification document up to date.,仕様書,APIの仕様書【しようしょ】を最新【さいしん】の状態【じょうたい】に保【たも】ってください。,Documentation - Specification,polite,specification document,"<ruby class=""vocab"">仕様書<rt>しようしょ</rt></ruby>"
設計書よりもテストの方が情報の腐敗に強いです。,Tests are more resistant to information decay than design documents.,設計書,設計書【せっけいしょ】よりもテストの方【ほう】が情報【じょうほう】の腐敗【ふはい】に強【つよ】いです。,Documentation - Design,polite,design document,"<ruby class=""vocab"">設計書<rt>せっけいしょ</rt></ruby>"
READMEに使い方の例を追加してください。,Please add usage examples to the README.,使い方,リードミーに使【つか】い方【かた】の例【れい】を追加【ついか】してください。,Documentation - Usage,polite,usage / how to use,"<ruby class=""vocab"">使い方<rt>つかいかた</rt></ruby>"
技術文書はコードと一緒にリポジトリに置くべきです。,Technical documents should be placed in the repository together with the code.,技術文書,技術文書【ぎじゅつぶんしょ】はコードと一緒【いっしょ】にリポジトリに置【お】くべきです。,Documentation - Technical,polite,technical document,"<ruby class=""vocab"">技術文書<rt>ぎじゅつぶんしょ</rt></ruby>"
CHANGELOGに変更履歴を記載してください。,Please document the change history in the CHANGELOG.,変更履歴,チェンジログに変更履歴【へんこうりれき】を記載【きさい】してください。,Documentation - Changelog,polite,change history,"<ruby class=""vocab"">変更履歴<rt>へんこうりれき</rt></ruby>"
手順書を更新して新しいデプロイフローを反映させました。,I updated the procedure document to reflect the new deploy flow.,手順書,手順書【てじゅんしょ】を更新【こうしん】して新【あたら】しいデプロイフローを反映【はんえい】させました。,Documentation - Procedure,polite,procedure document,"<ruby class=""vocab"">手順書<rt>てじゅんしょ</rt></ruby>"
古いドキュメントが残っているとエージェントが誤った情報を参照します。,"If old documentation remains, agents will reference incorrect information.",参照,古【ふる】いドキュメントが残【のこ】っているとエージェントが誤【あやま】った情報【じょうほう】を参照【さんしょう】します。,Documentation - Reference,polite,reference,"<ruby class=""vocab"">参照<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>"
ADRで意思決定の経緯を記録しましょう。,Let's record the decision-making process with ADRs.,経緯,ADRで意思決定【いしけってい】の経緯【けいい】を記録【きろく】しましょう。,Documentation - ADR,polite,background / history,"<ruby class=""vocab"">経緯<rt><span class=""pitch-h"">け</span><span class=""pitch-l"">い</span><span class=""pitch-l"">い</span></rt></ruby>"
リリースノートの解説記事を技術ブログに投稿しました。,I posted an explanatory article about the release notes on the tech blog.,技術ブログ,リリースノートの解説【かいせつ】記事【きじ】を技術【ぎじゅつ】ブログに投稿【とうこう】しました。,Blog - Publishing,polite,tech blog,"<ruby class=""vocab"">技術ブログ<rt>ぎじゅつブログ</rt></ruby>"
この記事にベンチマーク結果のまとめが載っています。,This article has a summary of the benchmark results.,記事,この記事【きじ】にベンチマーク結果【けっか】のまとめが載【の】っています。,Blog - Article,polite,article,"<ruby class=""vocab"">記事<rt><span class=""pitch-h"">き</span><span class=""pitch-l"">じ</span></rt></ruby>"
社内の技術知見を外部に発信していきましょう。,Let's start sharing our internal technical knowledge externally.,発信,社内【しゃない】の技術知見【ぎじゅつちけん】を外部【がいぶ】に発信【はっしん】していきましょう。,Blog - Sharing,polite,share / broadcast,"<ruby class=""vocab"">発信<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">ん</span></rt></ruby>"
新機能の紹介ブログを書いてもらえますか。,Could you write an introductory blog post about the new feature?,紹介,新機能【しんきのう】の紹介【しょうかい】ブログを書【か】いてもらえますか。,Blog - Introduction,polite,introduction,"<ruby class=""vocab"">紹介<rt><span class=""pitch-l"">しょ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">か</span><span class=""pitch-h"">い</span></rt></ruby>"
障害対応の事例を記事にして共有してください。,Please write up the incident response case as an article and share it.,事例,障害対応【しょうがいたいおう】の事例【じれい】を記事【きじ】にして共有【きょうゆう】してください。,Blog - Case Study,polite,case study,"<ruby class=""vocab"">事例<rt><span class=""pitch-l"">じ</span><span class=""pitch-h"">れ</span><span class=""pitch-h"">い</span></rt></ruby>"
読者にわかりやすいようにコード例を載せてください。,Please include code examples so it's easy for readers to understand.,読者,読者【どくしゃ】にわかりやすいようにコード例【れい】を載【の】せてください。,Blog - Writing,polite,reader,"<ruby class=""vocab"">読者<rt><span class=""pitch-h"">ど</span><span class=""pitch-l"">く</span><span class=""pitch-l"">しゃ</span></rt></ruby>"
この技術記事は実装の背景まで詳しく書かれていて参考になります。,This technical article is helpful because it covers the implementation background in detail.,参考,この技術【ぎじゅつ】記事【きじ】は実装【じっそう】の背景【はいけい】まで詳【くわ】しく書【か】かれていて参考【さんこう】になります。,Blog - Context,polite,reference / helpful,"<ruby class=""vocab"">参考<rt><span class=""pitch-l"">さ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">こ</span><span class=""pitch-h"">う</span></rt></ruby>"
